iter	Passed	Remaining
264	1113	3089
265	1117	3082
266	1121	3077
267	1125	3074
268	1128	3067
269	1131	3059
270	1134	3052
271	1144	3063
272	1147	3055
273	1150	3048
274	1154	3043
275	1157	3037
276	1160	3030
277	1163	3022
278	1168	3018
279	1172	3015
280	1175	3008
281	1178	3001
282	1181	2994
283	1185	2989
284	1188	2982
285	1191	2975
286	1194	2967
287	1198	2962
288	1201	2955
289	1204	2949
290	1208	2943
291	1212	2938
292	1215	2933
293	1218	2926
294	1221	2919
295	1224	2911
296	1227	2905
297	1231	2901
298	1236	2899
299	1240	2894
300	1244	2888
301	1247	2884
302	1250	2877
303	1253	2870
304	1257	2864
305	1261	2860
306	1264	2854
307	1267	2848
308	1270	2841
309	1274	2837
310	1278	2831
311	1281	2825
312	1284	2819
313	1290	2818
314	1294	2815
315	1298	2810
316	1303	2808
317	1307	2804
318	1310	2797
319	1313	2791
320	1323	2800
321	1327	2794
322	1330	2788
323	1336	2789
324	1339	2782
325	1342	2776
326	1346	2770
327	1349	2765
328	1353	2759
329	1356	2753
330	1359	2747
331	1363	2743
332	1367	2738
333	1369	2731
334	1373	2725
335	1377	2721
336	1381	2717
337	1384	2712
338	1388	2706
339	1391	2701
340	1395	2696
341	1398	2690
342	1401	2684
343	1404	2677
344	1406	2671
345	1412	2668
346	1414	2662
347	1418	2656
348	1425	2658
349	1428	2653
350	1432	2647
351	1435	2641
352	1440	2640
353	1444	2635
354	1446	2628
355	1449	2621
356	1452	2615
357	1455	2610
358	1458	2604
359	1461	2597
360	1463	2591
361	1467	2585
362	1470	2581
363	1473	2574
364	1476	2568
365	1478	2561
366	1481	2555
367	1485	2551
368	1488	2545
369	1491	2539
370	1494	2533
371	1498	2530
372	1502	2525
373	1504	2519
374	1507	2512
375	1509	2505
376	1513	2500
377	1516	2495
378	1519	2489
379	1522	2483
380	1524	2476
381	1527	2471
382	1531	2466
383	1533	2460
384	1536	2454
385	1538	2447
386	1542	2442
387	1545	2437
388	1547	2431
389	1550	2425
390	1553	2418
391	1555	2413
392	1562	2412
393	1564	2406
394	1567	2401
395	1570	2396
396	1574	2391
397	1577	2385
398	1579	2379
399	1582	2373
400	1586	2369
401	1590	2365
402	1592	2359
403	1595	2353
404	1597	2347
405	1601	2342
406	1606	2341
407	1609	2335
408	1612	2329
409	1615	2324
410	1618	2319
411	1621	2313
412	1623	2307
413	1625	2301
414	1628	2295
415	1632	2291
416	1636	2287
417	1638	2281
418	1642	2276
419	1645	2271
420	1648	2267
421	1651	2261
422	1653	2255
423	1656	2250
424	1658	2244
425	1662	2239
426	1664	2234
